,E.XX,MML_STRESS_GUESS_XX,MML_STRESS_GUESS_YY,MML_STRESS_GUESS_ZZ,DELTA_EXX,DELTA_EYY,DELTA_EZZ,TRIAL_STRESS_PRE_TRANS_XX,TRIAL_STRESS_PRE_TRANS_YY,TRIAL_STRESS_PRE_TRANS_ZZ,DELTA_SXX,DELTA_SYY,DELTA_SZZ,TRIAL_STRESS_POST_TRANS_XX,TRIAL_STRESS_POST_TRANS_YY,TRIAL_STRESS_POST_TRANS_ZZ,CONV_STRESS_ISO_XX,CONV_STRESS_ISO_YY,CONV_STRESS_ISO_ZZ,FICT_SXX,FICT_SYY,FICT_SZZ,FICT_EP_XX,FICT_EP_YY,FICT_EP_ZZ,REAL_EP_XX,REAL_EP_YY,REAL_EP_ZZ,S.XX,S.YY,S.ZZ,S.YZ,S.XZ,S.XY,S.VM
11,0.0055000000000000005,50.00000000690339,6.904262050966281e-09,6.9042638273231205e-09,0.0005,-0.0002499999999999041,-0.00024999999999988866,3800.9377344420623,-1875.4688672076304,-1875.468867207515,3750.9377344351587,-1875.4688672145346,-1875.468867214419,3800.9377344420623,-1875.4688672076304,-1875.468867207515,50.00000001039622,1.0390582616537358e-08,1.0390586169251037e-08,50.00000001039622,1.0390582616537358e-08,1.0390586169251037e-08,0.005494999999999652,-0.002747499999999771,-0.002747499999999882,0.005494999999999655,-0.0027474999999997705,-0.002747499999999882,50.00000001039622,1.0390582616537358e-08,1.0390586169251037e-08,0.0,0.0,0.0,50.00000000000564
12,0.006,50.00000001039622,1.0390582616537358e-08,1.0390586169251037e-08,0.0005,-0.00025000000000001676,-0.00025000000000001166,3800.9377344437935,-1875.4688672067523,-1875.4688672067136,3750.937734433397,-1875.4688672171428,-1875.4688672171042,3800.9377344437935,-1875.4688672067523,-1875.4688672067136,50.00000001065591,1.0650282433743996e-08,1.0650280657387157e-08,50.00000001065591,1.0650282433743996e-08,1.0650280657387157e-08,0.005994999999999643,-0.002997499999999767,-0.0029974999999998774,0.005994999999999646,-0.0029974999999997664,-0.0029974999999998774,50.00000001065591,1.0650282433743996e-08,1.0650280657387157e-08,0.0,0.0,0.0,50.00000000000563
13,0.006500000000000001,50.00000001065591,1.0650282433743996e-08,1.0650280657387157e-08,0.0005,-0.00024999999999999355,-0.00024999999999992015,3800.9377344449103,-1875.4688672054601,-1875.4688672049097,3750.9377344342543,-1875.4688672161103,-1875.4688672155598,3800.9377344449103,-1875.4688672054601,-1875.4688672049097,50.00000001118177,1.1179398740068791e-08,1.1179396963711952e-08,50.00000001118177,1.1179398740068791e-08,1.1179396963711952e-08,0.006494999999999625,-0.003247499999999758,-0.0032474999999998685,0.006494999999999628,-0.0032474999999997575,-0.0032474999999998685,50.00000001118177,1.1179398740068791e-08,1.1179396963711952e-08,0.0,0.0,0.0,50.00000000000237
14,0.006999999999999999,50.00000001118177,1.1179398740068791e-08,1.1179396963711952e-08,0.0005,-0.00024999999999986014,-0.00024999999999981076,3800.9377344472528,-1875.468867202114,-1875.4688672017435,3750.937734436071,-1875.4688672132936,-1875.468867212923,3800.9377344472528,-1875.468867202114,-1875.4688672017435,50.00000001302557,1.3023189637806354e-08,1.3023191414163193e-08,50.00000001302557,1.3023189637806354e-08,1.3023191414163193e-08,0.0069949999999995615,-0.0034974999999997257,-0.003497499999999837,0.006994999999999565,-0.0034974999999997252,-0.0034974999999998367,50.00000001302557,1.3023189637806354e-08,1.3023191414163193e-08,0.0,0.0,0.0,50.00000000000238
15,0.0075,50.00000001302557,1.3023189637806354e-08,1.3023191414163193e-08,0.0005,-0.0002499999999998686,-0.0002499999999998808,3800.937734448509,-1875.468867200921,-1875.4688672010125,3750.9377344354834,-1875.4688672139443,-1875.4688672140358,3800.937734448509,-1875.468867200921,-1875.4688672010125,50.00000001497,1.496436041747984e-08,1.496761470320962e-08,50.00000001497,1.496436041747984e-08,1.496761470320962e-08,0.007494999999999498,-0.003747499999999694,-0.0037474999999998057,0.0074949999999995,-0.0037474999999996934,-0.0037474999999998052,50.00000001497,1.496436041747984e-08,1.496761470320962e-08,0.0,0.0,0.0,50.000000000004015
16,0.008,50.00000001497,1.496436041747984e-08,1.496761470320962e-08,0.0005,-0.00024999999999997566,-0.0002500000000000263,3800.937734448564,-1875.468867201672,-1875.4688672020488,3750.937734433594,-1875.4688672166365,-1875.4688672170164,3800.937734448564,-1875.468867201672,-1875.4688672020488,50.00000001439542,1.440605146285634e-08,1.4399544667753617e-08,50.00000001439542,1.440605146285634e-08,1.4399544667753617e-08,0.007994999999999516,-0.003997499999999648,-0.00399749999999987,0.00799499999999952,-0.003997499999999648,-0.00399749999999987,50.00000001439542,1.440605146285634e-08,1.4399544667753617e-08,0.0,0.0,0.0,49.99999999999262
17,0.0085,50.00000001439542,1.440605146285634e-08,1.4399544667753617e-08,0.0005,-0.000249999999999826,-0.0002499999999999645,3800.937734449571,-1875.468867199526,-1875.4688672005714,3750.9377344351756,-1875.4688672139318,-1875.468867214971,3800.937734449571,-1875.468867199526,-1875.4688672005714,50.00000001535628,1.5353904814219277e-08,1.5347396242759714e-08,50.00000001535628,1.5353904814219277e-08,1.5347396242759714e-08,0.008494999999999484,-0.004247499999999576,-0.004247499999999909,0.008494999999999487,-0.004247499999999576,-0.004247499999999909,50.00000001535628,1.5353904814219277e-08,1.5347396242759714e-08,0.0,0.0,0.0,50.00000000000563
18,0.009000000000000001,50.00000001535628,1.5353904814219277e-08,1.5347396242759714e-08,0.0005,-0.00024999999999988546,-0.00024999999999990123,3800.937734450561,-1875.4688671989957,-1875.4688671991205,3750.9377344352047,-1875.4688672143495,-1875.468867214468,3800.937734450561,-1875.4688671989957,-1875.4688671991205,50.00000001729745,1.730156995449761e-08,1.7301571730854448e-08,50.00000001729745,1.730156995449761e-08,1.7301571730854448e-08,0.00899499999999942,-0.0044974999999995435,-0.004497499999999878,0.008994999999999424,-0.0044974999999995435,-0.004497499999999878,50.00000001729745,1.730156995449761e-08,1.7301571730854448e-08,0.0,0.0,0.0,49.99999999999588
19,0.0095,50.00000001729745,1.730156995449761e-08,1.7301571730854448e-08,0.0005,-0.0002499999999998991,-0.0002499999999999669,3800.937734451909,-1875.4688671977437,-1875.4688671982522,3750.9377344346112,-1875.4688672150453,-1875.4688672155537,3800.937734451909,-1875.4688671977437,-1875.4688671982522,50.00000001848553,1.8489654252107357e-08,1.8483149233361473e-08,50.00000001848553,1.8489654252107357e-08,1.8483149233361473e-08,0.009494999999999379,-0.004747499999999467,-0.004747499999999912,0.009494999999999382,-0.004747499999999467,-0.004747499999999912,50.00000001848553,1.8489654252107357e-08,1.8483149233361473e-08,0.0,0.0,0.0,49.999999999999126
20,0.01,50.00000001848553,1.8489654252107357e-08,1.8483149233361473e-08,0.0005,-0.00024999999999998163,-0.0002500000000000288,3800.9377344520167,-1875.4688671982547,-1875.468867198615,3750.937734433531,-1875.4688672167442,-1875.4688672170982,3800.9377344520167,-1875.4688671982547,-1875.468867198615,50.000000018284254,1.8294898040949192e-08,1.8281886227100586e-08,50.000000018284254,1.8294898040949192e-08,1.8281886227100586e-08,0.009994999999999386,-0.004997499999999415,-0.004997499999999972,0.009994999999999392,-0.004997499999999415,-0.004997499999999972,50.000000018284254,1.8294898040949192e-08,1.8281886227100586e-08,0.0,0.0,0.0,49.999999999995865
